Simulation Mire de Calibrage
Fichier des coordonnées des points de la mire

Numéro Pt	Rep Objet			Image RepImage
0		10.000 0.000 10.000		310.61 302.14
1		10.000 0.000 300.000		301.37 209.75
2		300.000 0.000 300.000		421.00 209.75
3		300.000 0.000 10.000		454.60 302.14
4		150.000 0.000 150.000		369.01 253.26
5		10.000 -10.000 0.000		311.39 302.80
6		10.000 -300.000 0.000		325.81 184.84
7		300.000 -10.000 0.000		457.42 302.80
8		300.000 -300.000 0.000		509.85 184.84
9		150.000 -150.000 0.000		395.83 252.61
